TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:10:21:25:55,64.00,22.80,22.62,983.24,260.78,455.90
2022:4:10:21:25:57,64.00,22.80,22.62,983.26,260.67,455.90
2022:4:10:21:26:0,64.00,22.80,22.63,983.23,260.95,455.90
2022:4:10:21:26:2,64.00,22.80,22.63,983.21,261.06,455.90
2022:4:10:21:26:4,64.00,22.90,22.63,983.22,260.96,455.90
2022:4:10:21:26:6,64.00,22.90,22.64,983.26,260.68,455.90
2022:4:10:21:26:8,64.00,22.90,22.63,983.25,260.76,455.90
2022:4:10:21:26:10,64.00,22.90,22.64,983.24,260.83,455.90
2022:4:10:21:26:12,64.00,22.90,22.64,983.22,260.97,455.90
2022:4:10:21:26:14,64.00,22.90,22.65,983.25,260.74,455.90
2022:4:10:21:26:16,64.00,22.90,22.65,983.24,260.87,455.90
2022:4:10:21:26:18,64.00,22.90,22.66,983.24,260.88,455.90
2022:4:10:21:26:20,64.00,22.90,22.66,983.23,260.95,455.90
2022:4:10:21:26:22,64.00,22.90,22.67,983.27,260.62,455.90
2022:4:10:21:26:25,64.00,22.90,22.68,983.28,260.47,455.90
2022:4:10:21:26:27,64.00,22.90,22.68,983.26,260.66,455.90
2022:4:10:21:26:29,64.00,22.90,22.69,983.23,260.93,455.90
2022:4:10:21:26:31,64.00,22.90,22.69,983.25,260.76,455.90
2022:4:10:21:26:33,64.00,22.90,22.69,983.23,260.95,455.90
2022:4:10:21:26:35,64.00,22.90,22.69,983.24,260.86,455.90
2022:4:10:21:26:37,64.00,22.90,22.67,983.27,260.58,455.90
2022:4:10:21:26:39,64.00,22.90,22.67,983.26,260.64,455.90
2022:4:10:21:26:41,64.00,22.90,22.67,983.25,260.79,455.90
2022:4:10:21:26:43,64.00,22.90,22.67,983.27,260.59,455.90
2022:4:10:21:26:45,64.00,22.90,22.67,983.26,260.72,455.90
2022:4:10:21:26:47,64.00,22.90,22.67,983.27,260.58,455.90
2022:4:10:21:26:50,64.00,22.90,22.67,983.26,260.72,455.90
2022:4:10:21:26:52,64.00,22.90,22.67,983.27,260.57,455.90
2022:4:10:21:26:54,64.00,22.90,22.68,983.26,260.65,455.90
2022:4:10:21:26:56,64.00,22.90,22.68,983.27,260.62,455.90
2022:4:10:21:26:58,64.00,22.90,22.69,983.27,260.57,455.90
2022:4:10:21:27:0,64.00,22.90,22.69,983.25,260.76,455.90
2022:4:10:21:27:2,64.00,22.90,22.70,983.28,260.53,455.90
2022:4:10:21:27:4,64.00,22.90,22.70,983.28,260.51,455.90
2022:4:10:21:27:6,64.00,22.90,22.70,983.32,260.21,455.90
2022:4:10:21:27:8,64.00,22.90,22.70,983.28,260.51,455.90
2022:4:10:21:27:10,64.00,22.90,22.69,983.28,260.55,455.90
2022:4:10:21:27:12,64.00,22.90,22.70,983.31,260.26,455.90
2022:4:10:21:27:14,64.00,22.90,22.70,983.29,260.41,455.90
2022:4:10:21:27:17,64.00,22.90,22.69,983.27,260.62,455.90
2022:4:10:21:27:19,64.00,22.90,22.69,983.29,260.39,455.90
2022:4:10:21:27:21,64.00,22.90,22.68,983.29,260.40,455.90
2022:4:10:21:27:23,64.00,22.90,22.67,983.27,260.57,455.90
2022:4:10:21:27:25,64.00,22.90,22.68,983.29,260.44,455.90
2022:4:10:21:27:27,64.00,22.90,22.67,983.31,260.20,455.90
2022:4:10:21:27:29,64.00,22.90,22.68,983.32,260.18,455.90
2022:4:10:21:27:31,64.00,22.90,22.67,983.29,260.41,455.90
2022:4:10:21:27:33,64.00,22.90,22.67,983.28,260.47,455.90
2022:4:10:21:27:35,64.00,22.90,22.66,983.30,260.29,455.90
2022:4:10:21:27:37,64.00,22.90,22.66,983.31,260.24,455.90
2022:4:10:21:27:39,64.00,22.90,22.63,983.26,260.62,455.90
2022:4:10:21:27:42,64.00,22.90,22.62,983.30,260.29,455.90
2022:4:10:21:27:44,64.00,22.90,22.60,983.31,260.14,455.90
2022:4:10:21:27:46,64.00,22.90,22.60,983.30,260.29,471.34
2022:4:10:21:27:48,64.00,22.90,22.59,983.28,260.43,455.90
2022:4:10:21:27:50,64.00,22.90,22.59,983.29,260.37,455.90
2022:4:10:21:27:52,64.00,22.90,22.57,983.31,260.15,455.90
2022:4:10:21:27:54,64.00,22.90,22.56,983.31,260.17,455.90
2022:4:10:21:27:56,64.00,22.90,22.57,983.30,260.19,455.90
2022:4:10:21:27:58,64.00,22.90,22.57,983.30,260.27,455.90
2022:4:10:21:28:0,64.00,22.90,22.57,983.30,260.27,455.90
2022:4:10:21:28:2,64.00,22.90,22.57,983.28,260.42,455.90
2022:4:10:21:28:4,64.00,22.90,22.57,983.31,260.11,455.90
2022:4:10:21:28:7,63.00,22.90,22.55,983.30,260.19,455.90
2022:4:10:21:28:9,63.00,22.90,22.56,983.34,259.90,455.90
2022:4:10:21:28:11,63.00,22.90,22.55,983.29,260.29,455.90
2022:4:10:21:28:13,63.00,22.90,22.55,983.31,260.15,455.90
2022:4:10:21:28:15,63.00,22.90,22.52,983.31,260.09,455.90
2022:4:10:21:28:17,63.00,22.90,22.51,983.27,260.40,455.90
2022:4:10:21:28:19,63.00,22.90,22.51,983.30,260.20,455.90
2022:4:10:21:28:21,63.00,22.90,22.51,983.33,259.94,455.90
2022:4:10:21:28:23,63.00,22.90,22.50,983.28,260.39,455.90
2022:4:10:21:28:25,63.00,22.90,22.50,983.31,260.11,455.90
2022:4:10:21:28:27,63.00,22.90,22.49,983.32,259.96,455.90
2022:4:10:21:28:29,63.00,22.90,22.49,983.32,260.02,455.90
2022:4:10:21:28:31,63.00,22.90,22.48,983.30,260.18,455.90
