TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:18:11:19:54,41.90,26.50,26.20,998.09,132.06,5143.36
2022:4:18:11:19:56,41.90,26.50,26.20,998.05,132.43,5143.36
2022:4:18:11:19:59,41.90,26.50,26.21,998.11,131.88,5068.53
2022:4:18:11:20:1,41.90,26.50,26.22,998.10,131.98,5218.91
2022:4:18:11:20:3,41.90,26.50,26.21,998.09,132.05,5143.36
2022:4:18:11:20:5,41.90,26.50,26.21,998.07,132.28,5218.91
2022:4:18:11:20:7,41.90,26.50,26.22,998.11,131.91,5068.53
2022:4:18:11:20:9,42.00,26.50,26.22,998.07,132.23,4994.43
2022:4:18:11:20:11,42.00,26.50,26.22,998.08,132.17,4994.43
2022:4:18:11:20:13,42.00,26.50,26.22,998.06,132.32,4994.43
2022:4:18:11:20:15,42.00,26.50,26.23,998.07,132.25,5068.53
2022:4:18:11:20:17,42.00,26.50,26.23,998.09,132.13,5068.53
2022:4:18:11:20:19,42.00,26.50,26.24,998.10,132.00,5143.36
2022:4:18:11:20:21,42.00,26.50,26.23,998.08,132.16,5218.91
2022:4:18:11:20:23,42.00,26.50,26.23,998.08,132.22,5295.21
2022:4:18:11:20:25,42.00,26.50,26.24,998.05,132.42,5068.53
2022:4:18:11:20:27,41.90,26.50,26.24,998.08,132.16,5068.53
2022:4:18:11:20:29,42.00,26.60,26.23,998.08,132.15,5295.21
2022:4:18:11:20:32,41.90,26.50,26.22,998.08,132.17,5218.91
2022:4:18:11:20:34,41.90,26.50,26.22,998.08,132.17,5068.53
2022:4:18:11:20:36,41.90,26.50,26.22,998.06,132.35,5068.53
2022:4:18:11:20:38,41.90,26.50,26.22,998.05,132.44,5143.36
2022:4:18:11:20:40,42.00,26.60,26.22,998.07,132.28,4994.43
2022:4:18:11:20:42,42.00,26.60,26.22,998.07,132.24,4994.43
2022:4:18:11:20:44,41.90,26.50,26.21,998.07,132.23,4921.06
2022:4:18:11:20:46,42.00,26.60,26.23,998.09,132.12,4921.06
2022:4:18:11:20:48,42.00,26.60,26.23,998.08,132.18,5068.53
2022:4:18:11:20:50,41.90,26.50,26.23,998.08,132.19,4994.43
2022:4:18:11:20:52,42.00,26.60,26.23,998.05,132.48,4848.41
2022:4:18:11:20:54,41.90,26.50,26.23,998.09,132.13,4921.06
2022:4:18:11:20:56,42.00,26.60,26.23,998.06,132.35,4921.06
2022:4:18:11:20:58,41.90,26.60,26.23,998.04,132.49,4994.43
2022:4:18:11:21:0,41.90,26.50,26.23,998.07,132.24,4921.06
2022:4:18:11:21:2,42.00,26.60,26.22,998.03,132.65,5068.53
2022:4:18:11:21:5,42.00,26.60,26.21,998.05,132.44,5068.53
2022:4:18:11:21:7,41.90,26.50,26.21,998.07,132.28,5068.53
2022:4:18:11:21:9,41.90,26.50,26.21,998.06,132.38,5068.53
2022:4:18:11:21:11,42.00,26.60,26.21,998.06,132.31,5143.36
2022:4:18:11:21:13,42.00,26.60,26.21,998.01,132.76,5218.91
2022:4:18:11:21:15,42.00,26.60,26.22,998.06,132.38,5143.36
2022:4:18:11:21:17,42.00,26.60,26.22,998.07,132.29,5143.36
2022:4:18:11:21:19,41.90,26.60,26.21,998.06,132.37,5143.36
2022:4:18:11:21:21,41.90,26.50,26.20,998.05,132.46,5143.36
2022:4:18:11:21:23,41.90,26.60,26.21,998.08,132.20,5143.36
2022:4:18:11:21:25,41.90,26.50,26.21,998.06,132.34,5143.36
2022:4:18:11:21:27,41.90,26.60,26.20,998.07,132.22,5143.36
2022:4:18:11:21:29,41.90,26.60,26.20,998.06,132.38,5143.36
2022:4:18:11:21:31,41.90,26.60,26.21,998.09,132.05,5068.53
2022:4:18:11:21:33,41.90,26.60,26.20,998.08,132.18,5068.53
2022:4:18:11:21:35,41.90,26.60,26.21,998.10,131.95,5143.36
2022:4:18:11:21:38,41.90,26.50,26.20,998.08,132.21,5068.53
2022:4:18:11:21:40,41.90,26.60,26.21,998.06,132.33,4994.43
2022:4:18:11:21:42,41.90,26.60,26.22,998.06,132.37,4994.43
2022:4:18:11:21:44,41.90,26.60,26.22,998.07,132.23,4848.41
2022:4:18:11:21:46,41.80,26.50,26.22,998.08,132.14,4776.48
2022:4:18:11:21:48,41.90,26.60,26.23,998.08,132.20,4776.48
2022:4:18:11:21:50,41.90,26.50,26.24,998.12,131.82,4848.41
2022:4:18:11:21:52,41.90,26.60,26.24,998.09,132.14,4848.41
2022:4:18:11:21:54,41.90,26.60,26.24,998.08,132.19,4848.41
2022:4:18:11:21:56,41.90,26.50,26.23,998.09,132.12,4848.41
2022:4:18:11:21:58,42.00,26.60,26.22,998.09,132.05,4848.41
2022:4:18:11:22:0,41.90,26.60,26.22,998.09,132.05,4848.41
2022:4:18:11:22:2,41.90,26.50,26.22,998.09,132.12,4776.48
2022:4:18:11:22:4,41.80,26.50,26.22,998.10,132.04,4776.48
2022:4:18:11:22:6,41.80,26.50,26.21,998.09,132.13,4705.27
2022:4:18:11:22:9,41.90,26.60,26.22,998.12,131.79,4848.41
2022:4:18:11:22:11,41.90,26.60,26.22,998.07,132.27,4848.41
2022:4:18:11:22:13,41.90,26.60,26.22,998.06,132.33,4921.06
2022:4:18:11:22:15,41.80,26.50,26.23,998.09,132.09,4776.48
